# Synthetic clear-sky desert day -- NOT measured.
# Solar geometry: NOAA positions for 36.626 N, -116.018 E on 2023-07-15, UTC-8.
# Irradiance: Laue clear-sky, transmittance 0.75, diffuse 10% of extraterrestrial horizontal.
# Sky temperature: Berdahl-Fromberg at RH 20.0%.
# 4 identical days: 1.0 h rows through the spin-up, 0.25 h on the last. Evaluate at 72 + hour.
# time_h, air_k, dni, sun_azimuth_deg, sun_elevation_deg, sky_k, diffuse_w_m2, relative_humidity
0.0000, 301.219, 0.00, 2.726, 0.000, 278.277, 0.00, 20.0
1.0000, 299.500, 0.00, 18.743, 0.000, 275.887, 0.00, 20.0
2.0000, 297.978, 0.00, 33.232, 0.000, 273.796, 0.00, 20.0
3.0000, 296.719, 0.00, 45.687, 0.000, 272.083, 0.00, 20.0
4.0000, 295.778, 0.00, 56.277, 0.000, 270.814, 0.00, 20.0
5.0000, 295.197, 251.81, 65.467, 3.482, 270.034, 8.30, 20.0
6.0000, 295.000, 661.86, 73.796, 14.601, 269.771, 34.46, 20.0
7.0000, 295.543, 830.81, 81.835, 26.325, 270.498, 60.62, 20.0
8.0000, 297.106, 918.70, 90.300, 38.307, 272.608, 84.74, 20.0
9.0000, 299.500, 969.56, 100.385, 50.270, 275.887, 105.13, 20.0
10.0000, 302.437, 999.21, 114.782, 61.742, 279.988, 120.41, 20.0
11.0000, 305.563, 1014.41, 140.898, 71.350, 284.445, 129.52, 20.0
12.0000, 308.500, 1018.04, 188.764, 74.690, 288.718, 131.85, 20.0
13.0000, 310.894, 1010.74, 229.821, 68.547, 292.262, 127.23, 20.0
14.0000, 312.457, 991.20, 250.708, 58.039, 294.603, 115.98, 20.0
15.0000, 313.000, 955.52, 263.190, 46.319, 295.421, 98.86, 20.0
16.0000, 312.803, 894.81, 272.544, 34.306, 295.124, 77.05, 20.0
17.0000, 312.222, 787.36, 280.766, 22.373, 294.249, 52.03, 20.0
18.0000, 311.281, 566.73, 288.827, 10.784, 292.839, 25.58, 20.0
19.0000, 310.022, 53.76, 297.375, 0.169, 290.965, 0.40, 20.0
20.0000, 308.500, 0.00, 306.966, 0.000, 288.718, 0.00, 20.0
21.0000, 306.781, 0.00, 318.130, 0.000, 286.207, 0.00, 20.0
22.0000, 304.941, 0.00, 331.277, 0.000, 283.550, 0.00, 20.0
23.0000, 303.059, 0.00, 346.396, 0.000, 280.868, 0.00, 20.0
24.0000, 301.219, 0.00, 2.726, 0.000, 278.277, 0.00, 20.0
25.0000, 299.500, 0.00, 18.743, 0.000, 275.887, 0.00, 20.0
26.0000, 297.978, 0.00, 33.232, 0.000, 273.796, 0.00, 20.0
27.0000, 296.719, 0.00, 45.687, 0.000, 272.083, 0.00, 20.0
28.0000, 295.778, 0.00, 56.277, 0.000, 270.814, 0.00, 20.0
29.0000, 295.197, 251.81, 65.467, 3.482, 270.034, 8.30, 20.0
30.0000, 295.000, 661.86, 73.796, 14.601, 269.771, 34.46, 20.0
31.0000, 295.543, 830.81, 81.835, 26.325, 270.498, 60.62, 20.0
32.0000, 297.106, 918.70, 90.300, 38.307, 272.608, 84.74, 20.0
33.0000, 299.500, 969.56, 100.385, 50.270, 275.887, 105.13, 20.0
34.0000, 302.437, 999.21, 114.782, 61.742, 279.988, 120.41, 20.0
35.0000, 305.563, 1014.41, 140.898, 71.350, 284.445, 129.52, 20.0
36.0000, 308.500, 1018.04, 188.764, 74.690, 288.718, 131.85, 20.0
37.0000, 310.894, 1010.74, 229.821, 68.547, 292.262, 127.23, 20.0
38.0000, 312.457, 991.20, 250.708, 58.039, 294.603, 115.98, 20.0
39.0000, 313.000, 955.52, 263.190, 46.319, 295.421, 98.86, 20.0
40.0000, 312.803, 894.81, 272.544, 34.306, 295.124, 77.05, 20.0
41.0000, 312.222, 787.36, 280.766, 22.373, 294.249, 52.03, 20.0
42.0000, 311.281, 566.73, 288.827, 10.784, 292.839, 25.58, 20.0
43.0000, 310.022, 53.76, 297.375, 0.169, 290.965, 0.40, 20.0
44.0000, 308.500, 0.00, 306.966, 0.000, 288.718, 0.00, 20.0
45.0000, 306.781, 0.00, 318.130, 0.000, 286.207, 0.00, 20.0
46.0000, 304.941, 0.00, 331.277, 0.000, 283.550, 0.00, 20.0
47.0000, 303.059, 0.00, 346.396, 0.000, 280.868, 0.00, 20.0
48.0000, 301.219, 0.00, 2.726, 0.000, 278.277, 0.00, 20.0
49.0000, 299.500, 0.00, 18.743, 0.000, 275.887, 0.00, 20.0
50.0000, 297.978, 0.00, 33.232, 0.000, 273.796, 0.00, 20.0
51.0000, 296.719, 0.00, 45.687, 0.000, 272.083, 0.00, 20.0
52.0000, 295.778, 0.00, 56.277, 0.000, 270.814, 0.00, 20.0
53.0000, 295.197, 251.81, 65.467, 3.482, 270.034, 8.30, 20.0
54.0000, 295.000, 661.86, 73.796, 14.601, 269.771, 34.46, 20.0
55.0000, 295.543, 830.81, 81.835, 26.325, 270.498, 60.62, 20.0
