# A clear summer day, hour by hour. The columns are what
# ThermalSolver::LoadForcingCsv reads, in order:
#
#   time_h, air_temperature_k, sun_irradiance_w_m2,
#   sun_azimuth_deg, sun_elevation_deg, sky_temperature_k
#
# Azimuth runs from north through east; elevation from the horizon.
# The sun is below the horizon before 06:00 and after 20:00, and the
# irradiance is zero there -- which is what lets the plate cool.
#
# Air temperature peaks at 15:00 and bottoms at 03:00, as it does: the
# ground heats the air, and the ground is still gaining at noon. The
# sky runs about 20 K below the air, a clear-sky figure.
time_h,air_temperature_k,sun_irradiance_w_m2,sun_azimuth_deg,sun_elevation_deg,sky_temperature_k
0.0,290.20,0.0,0.0,-10.0,270.20
1.0,289.00,0.0,0.0,-10.0,269.00
2.0,288.26,0.0,0.0,-10.0,268.26
3.0,288.00,0.0,0.0,-10.0,268.00
4.0,288.26,0.0,0.0,-10.0,268.26
5.0,289.00,0.0,0.0,-10.0,269.00
6.0,290.20,0.0,90.0,0.0,270.20
7.0,291.75,156.5,102.9,15.6,271.75
8.0,293.56,348.8,115.7,30.4,273.56
9.0,295.50,538.9,128.6,43.6,275.50
10.0,297.44,707.1,141.4,54.7,277.44
11.0,299.25,838.3,154.3,63.1,279.25
12.0,300.80,921.5,167.1,68.2,280.80
13.0,302.00,950.0,180.0,70.0,282.00
14.0,302.74,921.5,192.9,68.2,282.74
15.0,303.00,838.3,205.7,63.1,283.00
16.0,302.74,707.1,218.6,54.7,282.74
17.0,302.00,538.9,231.4,43.6,282.00
18.0,300.80,348.8,244.3,30.4,280.80
19.0,299.25,156.5,257.1,15.6,279.25
20.0,297.44,0.0,270.0,0.0,277.44
21.0,295.50,0.0,0.0,-10.0,275.50
22.0,293.56,0.0,0.0,-10.0,273.56
23.0,291.75,0.0,0.0,-10.0,271.75
24.0,290.20,0.0,0.0,-10.0,270.20
