# Constant reflectance 0.8, for hero-wavelength diagnosis.
# A measured curve bypasses ConvertLinearRGBToSpectrum, so both the
# deterministic grid and the hero path evaluate the SAME rho(lambda).
wavelength_nm,reflectance
380,0.800000
385,0.800000
390,0.800000
395,0.800000
400,0.800000
405,0.800000
410,0.800000
415,0.800000
420,0.800000
425,0.800000
430,0.800000
435,0.800000
440,0.800000
445,0.800000
450,0.800000
455,0.800000
460,0.800000
465,0.800000
470,0.800000
475,0.800000
480,0.800000
485,0.800000
490,0.800000
495,0.800000
500,0.800000
505,0.800000
510,0.800000
515,0.800000
520,0.800000
525,0.800000
530,0.800000
535,0.800000
540,0.800000
545,0.800000
550,0.800000
555,0.800000
560,0.800000
565,0.800000
570,0.800000
575,0.800000
580,0.800000
585,0.800000
590,0.800000
595,0.800000
600,0.800000
605,0.800000
610,0.800000
615,0.800000
620,0.800000
625,0.800000
630,0.800000
635,0.800000
640,0.800000
645,0.800000
650,0.800000
655,0.800000
660,0.800000
665,0.800000
670,0.800000
675,0.800000
680,0.800000
685,0.800000
690,0.800000
695,0.800000
700,0.800000
705,0.800000
710,0.800000
715,0.800000
720,0.800000
725,0.800000
730,0.800000
735,0.800000
740,0.800000
745,0.800000
750,0.800000
755,0.800000
760,0.800000
765,0.800000
770,0.800000
775,0.800000
780,0.800000
