# wavelength_nm, reflectance
420.0, 0.040837
422.0, 0.046136
424.0, 0.047327
426.0, 0.048886
428.0, 0.048321
430.0, 0.049333
432.0, 0.049909
434.0, 0.049769
436.0, 0.051138
438.0, 0.051475
440.0, 0.051479
442.0, 0.052250
444.0, 0.052626
446.0, 0.053413
448.0, 0.053666
450.0, 0.053754
452.0, 0.054261
454.0, 0.054305
456.0, 0.054728
458.0, 0.055100
460.0, 0.055251
462.0, 0.055559
464.0, 0.055836
466.0, 0.056169
468.0, 0.056231
470.0, 0.056693
472.0, 0.056990
474.0, 0.057133
476.0, 0.057455
478.0, 0.057938
480.0, 0.058272
482.0, 0.058614
484.0, 0.059156
486.0, 0.059498
488.0, 0.059997
490.0, 0.060440
492.0, 0.060892
494.0, 0.061253
496.0, 0.061689
498.0, 0.062079
500.0, 0.062476
502.0, 0.062802
504.0, 0.063245
506.0, 0.063626
508.0, 0.064004
510.0, 0.064427
512.0, 0.064890
514.0, 0.065289
516.0, 0.065664
518.0, 0.066091
520.0, 0.066532
522.0, 0.067029
524.0, 0.067408
526.0, 0.067833
528.0, 0.068209
530.0, 0.068698
532.0, 0.069056
534.0, 0.069513
536.0, 0.069907
538.0, 0.070306
540.0, 0.070655
542.0, 0.070960
544.0, 0.071239
546.0, 0.071564
548.0, 0.071798
550.0, 0.072068
552.0, 0.072319
554.0, 0.072553
556.0, 0.072837
558.0, 0.073103
560.0, 0.073390
562.0, 0.072719
564.0, 0.071808
566.0, 0.071899
568.0, 0.073188
570.0, 0.074821
572.0, 0.075931
574.0, 0.076297
576.0, 0.076353
578.0, 0.076548
580.0, 0.077062
582.0, 0.077807
584.0, 0.078685
586.0, 0.079558
588.0, 0.080136
590.0, 0.080089
592.0, 0.079282
594.0, 0.078352
596.0, 0.078131
598.0, 0.079177
600.0, 0.080960
602.0, 0.082678
604.0, 0.083707
606.0, 0.084134
608.0, 0.084223
610.0, 0.084238
612.0, 0.084387
614.0, 0.084828
616.0, 0.085701
618.0, 0.086799
620.0, 0.087567
622.0, 0.087460
624.0, 0.086465
626.0, 0.085100
628.0, 0.083906
630.0, 0.083311
632.0, 0.083287
634.0, 0.083691
636.0, 0.084379
638.0, 0.085210
640.0, 0.086041
642.0, 0.086710
644.0, 0.086995
646.0, 0.087052
648.0, 0.087404
650.0, 0.088155
652.0, 0.088964
654.0, 0.089482
656.0, 0.089639
658.0, 0.089642
660.0, 0.089708
662.0, 0.089996
664.0, 0.090422
666.0, 0.090843
668.0, 0.091168
670.0, 0.091524
672.0, 0.092091
674.0, 0.093033
676.0, 0.094129
678.0, 0.094777
680.0, 0.094358
682.0, 0.092853
684.0, 0.092081
686.0, 0.092205
688.0, 0.092823
690.0, 0.093535
692.0, 0.094127
694.0, 0.094300
696.0, 0.094409
698.0, 0.094348
700.0, 0.094958
702.0, 0.094742
704.0, 0.095203
706.0, 0.095306
708.0, 0.095731
710.0, 0.095840
712.0, 0.096186
714.0, 0.096290
716.0, 0.096413
718.0, 0.096850
720.0, 0.096974
722.0, 0.097146
724.0, 0.097546
726.0, 0.097672
728.0, 0.097894
730.0, 0.098175
732.0, 0.098454
734.0, 0.098597
736.0, 0.098885
738.0, 0.099055
740.0, 0.099204
742.0, 0.099566
744.0, 0.099881
746.0, 0.100025
748.0, 0.100296
750.0, 0.100508
752.0, 0.100606
754.0, 0.100826
756.0, 0.101053
758.0, 0.101265
760.0, 0.101570
762.0, 0.101860
764.0, 0.102119
766.0, 0.102283
768.0, 0.102296
770.0, 0.102646
772.0, 0.102971
774.0, 0.103222
776.0, 0.103346
778.0, 0.103558
780.0, 0.103682
782.0, 0.103937
784.0, 0.104168
786.0, 0.104389
788.0, 0.104536
790.0, 0.104625
792.0, 0.104855
794.0, 0.105044
796.0, 0.105180
798.0, 0.105490
800.0, 0.105579
820.0, 0.107352
840.0, 0.109059
860.0, 0.110484
880.0, 0.112110
900.0, 0.113585
920.0, 0.115136
940.0, 0.116647
960.0, 0.118029
980.0, 0.119281
1000.0, 0.120673
1020.0, 0.122069
1040.0, 0.122973
1060.0, 0.124390
1080.0, 0.125612
1100.0, 0.127092
1120.0, 0.128595
1140.0, 0.129660
1160.0, 0.131380
1180.0, 0.133265
1200.0, 0.134837
1220.0, 0.135828
1240.0, 0.136885
1260.0, 0.137998
1280.0, 0.138866
1300.0, 0.139603
1320.0, 0.139926
1340.0, 0.141072
1360.0, 0.142161
1380.0, 0.144659
1400.0, 0.146079
1420.0, 0.147444
1440.0, 0.148601
1460.0, 0.149058
1480.0, 0.148954
1500.0, 0.148709
