# Red wall of the Cornell box: SLUM sample B008.
#
# Manual entry: Class "Ceramic brick", Material "Ceramic", Colour "Light red",
# Status "New", 215 x 65 x 100 mm.
#
# Source: Kotthaus, Smith, Wooster & Grimmond (2014), ISPRS J. Photogramm.
# Remote Sens. 94:194-212.  Data DOI: 10.5281/zenodo.4263842.  Licence CC-BY 4.0.
# Short-wave reflectance measured on a Beckman spectrophotometer; the 8-14 um
# segment is FTIR emissivity inverted once as rho = 1 - eps, valid because these
# surfaces are opaque (tau = 0).
#
# Chosen over the previous ECOSTRESS "Red smooth-faced Brick (0097UUUBRK)"
# because it is both more saturated and brighter -- 0.67 against 0.56 in HSV
# saturation and 0.266 against 0.149 in luminance, under D65 through this
# renderer own colour conversion.
#
# WHAT THIS CURVE DOES NOT MEASURE. The two instruments leave a 5.5 um gap
# between 2506 nm and 8002 nm, and SpectralCurve::Evaluate interpolates linearly
# across it. Every value this file implies between those wavelengths is a
# straight line, not a measurement -- which covers the whole of MWIR. The
# visible, NIR and SWIR bands are measured throughout, and the Cornell box is a
# visible-light scene in every gate and experiment that uses it. Do not read a
# MWIR number off this wall.
#
# wavelength_nm, reflectance
348.1, 0.150600
349.7, 0.150329
351.3, 0.150022
352.9, 0.149680
354.5, 0.149303
356.1, 0.148891
357.6, 0.148390
359.2, 0.148173
360.8, 0.147475
362.4, 0.146696
363.9, 0.145385
365.5, 0.144316
367.1, 0.143359
368.7, 0.142659
370.2, 0.142641
371.8, 0.142946
373.4, 0.143627
374.9, 0.144354
376.5, 0.144947
378.0, 0.145010
379.6, 0.144497
381.1, 0.143988
382.7, 0.143453
384.2, 0.143155
385.8, 0.143164
387.3, 0.143333
388.9, 0.143654
390.4, 0.144064
392.0, 0.144607
393.5, 0.144951
395.0, 0.145052
396.6, 0.144936
398.1, 0.144797
399.6, 0.144708
401.2, 0.144664
402.7, 0.144738
404.2, 0.145000
405.8, 0.145434
407.3, 0.146044
408.8, 0.146668
410.4, 0.147253
411.9, 0.147712
413.4, 0.148033
414.9, 0.148243
416.5, 0.148322
418.0, 0.148423
419.5, 0.148459
421.0, 0.148615
422.5, 0.148898
424.1, 0.149321
425.6, 0.149881
427.1, 0.150457
428.6, 0.151064
430.1, 0.151687
431.6, 0.152282
433.1, 0.152873
434.7, 0.153289
436.2, 0.153715
437.7, 0.154090
439.2, 0.154478
440.7, 0.154865
442.2, 0.155236
443.7, 0.155698
445.2, 0.156280
446.7, 0.156960
448.2, 0.157718
449.7, 0.158425
451.2, 0.159208
452.7, 0.159963
454.2, 0.160730
455.7, 0.161404
457.2, 0.162031
458.7, 0.162610
460.2, 0.163125
461.7, 0.163619
463.2, 0.164049
464.7, 0.164428
466.2, 0.164836
467.7, 0.165246
469.2, 0.165652
470.7, 0.166078
472.2, 0.166528
473.7, 0.166991
475.2, 0.167456
476.6, 0.167982
478.1, 0.168473
479.6, 0.169042
481.1, 0.169645
482.6, 0.170249
484.1, 0.170857
485.6, 0.171500
487.1, 0.172168
488.5, 0.172852
490.0, 0.173528
491.5, 0.174294
493.0, 0.175061
494.5, 0.175905
495.9, 0.176764
497.4, 0.177642
498.9, 0.178532
500.4, 0.179471
501.9, 0.180437
503.4, 0.181395
504.8, 0.182348
506.3, 0.183341
507.8, 0.184317
509.2, 0.185292
510.7, 0.186257
512.2, 0.187245
513.7, 0.188240
515.1, 0.189282
516.6, 0.190338
518.1, 0.191392
519.6, 0.192456
521.0, 0.193509
522.5, 0.194607
524.0, 0.195771
525.4, 0.196982
526.9, 0.198271
528.4, 0.199607
529.8, 0.201018
531.3, 0.202505
532.8, 0.204021
534.2, 0.205600
535.7, 0.207217
537.1, 0.208976
538.6, 0.210860
540.1, 0.212819
541.5, 0.214895
543.0, 0.217055
544.5, 0.219347
545.9, 0.221741
547.4, 0.224237
548.8, 0.226839
550.3, 0.229576
551.7, 0.232479
553.2, 0.235521
554.6, 0.238698
556.1, 0.242045
557.5, 0.245525
559.0, 0.249143
560.4, 0.252860
561.9, 0.256735
563.3, 0.260767
564.8, 0.264957
566.2, 0.269273
567.7, 0.273674
569.1, 0.278193
570.6, 0.282775
572.0, 0.287418
573.5, 0.292065
574.9, 0.296740
576.3, 0.301496
577.8, 0.306280
579.2, 0.311064
580.6, 0.315841
582.1, 0.320573
583.5, 0.325274
585.0, 0.329865
586.4, 0.334366
587.8, 0.338696
589.3, 0.342952
590.7, 0.347145
592.1, 0.351207
593.5, 0.355130
595.0, 0.358891
596.4, 0.362495
597.8, 0.365977
599.3, 0.369246
600.7, 0.372321
602.1, 0.375199
603.5, 0.377957
605.0, 0.380593
606.4, 0.383063
607.8, 0.385431
609.2, 0.387706
610.6, 0.389884
612.1, 0.392008
613.5, 0.393979
614.9, 0.395868
616.3, 0.397648
617.7, 0.399301
619.1, 0.400829
620.5, 0.402252
622.0, 0.403668
623.4, 0.405044
624.8, 0.406314
626.2, 0.407556
627.6, 0.408738
629.0, 0.409904
630.4, 0.411000
631.8, 0.412044
633.2, 0.413096
634.6, 0.414166
636.0, 0.415262
637.4, 0.416340
638.8, 0.417368
640.2, 0.418396
641.6, 0.419422
643.0, 0.420410
644.4, 0.421364
645.8, 0.422321
647.2, 0.423297
648.5, 0.424273
649.9, 0.425210
651.3, 0.426112
652.7, 0.427032
654.1, 0.427973
655.5, 0.428960
656.9, 0.429940
658.2, 0.430982
659.6, 0.432016
661.0, 0.433049
662.4, 0.434067
663.8, 0.435083
665.1, 0.436089
666.5, 0.437116
667.9, 0.438131
669.3, 0.439195
670.6, 0.440279
672.0, 0.441400
673.4, 0.442506
674.7, 0.443628
676.1, 0.444794
677.5, 0.445975
678.8, 0.447159
680.2, 0.448335
681.5, 0.449497
682.9, 0.450696
684.3, 0.451895
685.6, 0.453103
687.0, 0.454325
688.3, 0.455539
689.7, 0.456777
691.0, 0.457975
692.4, 0.459172
693.7, 0.460386
695.1, 0.461575
696.4, 0.462774
697.8, 0.463983
699.1, 0.465228
700.5, 0.466468
701.8, 0.467737
703.2, 0.468994
704.5, 0.470221
705.8, 0.471445
707.2, 0.472674
708.5, 0.473903
709.8, 0.475120
711.2, 0.476326
712.5, 0.477496
713.8, 0.478600
715.2, 0.479772
716.5, 0.480883
717.8, 0.481978
719.1, 0.483015
720.5, 0.484077
721.8, 0.485234
723.1, 0.486404
724.4, 0.487582
725.8, 0.488730
727.1, 0.489803
728.4, 0.490888
729.7, 0.491889
731.0, 0.492845
732.3, 0.493673
733.6, 0.494511
735.0, 0.495332
736.3, 0.496062
737.6, 0.496805
738.9, 0.497479
740.2, 0.498068
741.5, 0.498642
742.8, 0.499173
744.1, 0.499697
745.4, 0.500155
746.7, 0.500639
748.0, 0.501034
749.3, 0.501321
750.6, 0.501620
751.9, 0.501861
753.1, 0.502086
754.4, 0.502291
755.7, 0.502402
757.0, 0.502503
758.3, 0.502551
759.6, 0.502587
760.9, 0.502526
762.1, 0.502452
763.4, 0.502348
764.7, 0.502215
766.0, 0.502104
767.3, 0.501978
768.5, 0.501808
769.8, 0.501605
771.1, 0.501336
772.4, 0.501041
773.6, 0.500744
774.9, 0.500508
776.2, 0.500221
777.4, 0.499861
778.7, 0.499514
780.0, 0.499129
781.2, 0.498728
782.5, 0.498299
783.7, 0.497848
785.0, 0.497385
786.3, 0.496942
787.5, 0.496537
788.8, 0.496064
790.0, 0.495614
791.3, 0.495156
792.5, 0.494637
793.8, 0.494115
795.0, 0.493632
796.3, 0.493141
797.5, 0.492630
798.8, 0.492210
800.0, 0.491812
801.2, 0.491408
802.5, 0.491110
803.7, 0.490724
805.0, 0.490284
806.2, 0.489800
807.4, 0.489244
808.7, 0.488689
809.9, 0.488124
811.1, 0.487688
812.4, 0.487187
813.6, 0.486687
814.8, 0.486203
816.0, 0.485731
817.2, 0.485290
818.5, 0.484813
819.7, 0.484317
820.9, 0.483874
822.1, 0.483425
823.4, 0.483059
824.6, 0.482609
825.8, 0.482174
827.0, 0.481715
828.2, 0.481277
829.4, 0.480907
830.6, 0.480488
831.8, 0.480136
833.0, 0.479769
834.2, 0.479431
835.5, 0.479120
836.6, 0.478751
837.9, 0.478515
839.0, 0.478197
840.2, 0.477863
841.5, 0.477601
842.6, 0.477379
843.8, 0.477260
845.0, 0.477082
846.2, 0.476895
847.4, 0.476699
848.6, 0.476473
849.8, 0.476322
851.0, 0.476070
852.2, 0.475899
853.3, 0.475755
854.5, 0.475637
855.7, 0.475484
856.9, 0.475333
858.1, 0.475260
859.2, 0.475187
860.4, 0.475070
861.6, 0.475043
862.8, 0.475039
