# wavelength_nm, reflectance
300.0, 0.088200
302.0, 0.090000
304.0, 0.091800
306.0, 0.093500
308.0, 0.095200
310.0, 0.096900
312.0, 0.098500
314.0, 0.100200
316.0, 0.101800
318.0, 0.103500
320.0, 0.105200
322.0, 0.106700
324.0, 0.108200
326.0, 0.109700
328.0, 0.111200
330.0, 0.112500
332.0, 0.113900
334.0, 0.115200
336.0, 0.116500
338.0, 0.117800
340.0, 0.119000
342.0, 0.120100
344.0, 0.121200
346.0, 0.122300
348.0, 0.123300
350.0, 0.124300
352.0, 0.125300
354.0, 0.126300
356.0, 0.127300
358.0, 0.128100
360.0, 0.129000
362.0, 0.129800
364.0, 0.130600
366.0, 0.131500
368.0, 0.132500
370.0, 0.133500
372.0, 0.134600
374.0, 0.135800
376.0, 0.137000
378.0, 0.138500
380.0, 0.140100
382.0, 0.141500
384.0, 0.143000
386.0, 0.144500
388.0, 0.146000
390.0, 0.147400
392.0, 0.148900
394.0, 0.150200
396.0, 0.151600
398.0, 0.153000
400.0, 0.154300
402.0, 0.155600
404.0, 0.156800
406.0, 0.158100
408.0, 0.159300
410.0, 0.160500
412.0, 0.161800
414.0, 0.163000
416.0, 0.164300
418.0, 0.165600
420.0, 0.166900
422.0, 0.168300
424.0, 0.169700
426.0, 0.171100
428.0, 0.172600
430.0, 0.174100
432.0, 0.175600
434.0, 0.177200
436.0, 0.178700
438.0, 0.180300
440.0, 0.181800
442.0, 0.183200
444.0, 0.184700
446.0, 0.186200
448.0, 0.187500
450.0, 0.188800
452.0, 0.190100
454.0, 0.191200
456.0, 0.192300
458.0, 0.193300
460.0, 0.194200
462.0, 0.195100
464.0, 0.196000
466.0, 0.197000
468.0, 0.197900
470.0, 0.198800
472.0, 0.199700
474.0, 0.200600
476.0, 0.201500
478.0, 0.202500
480.0, 0.203600
482.0, 0.204800
484.0, 0.206000
486.0, 0.207200
488.0, 0.208400
490.0, 0.209700
492.0, 0.210900
494.0, 0.212200
