# wavelength_nm, reflectance
300.0, 0.055800
302.0, 0.055600
304.0, 0.055500
306.0, 0.055300
308.0, 0.055200
310.0, 0.055000
312.0, 0.054900
314.0, 0.054700
316.0, 0.054500
318.0, 0.054100
320.0, 0.053800
322.0, 0.053700
324.0, 0.053500
326.0, 0.053400
328.0, 0.053300
330.0, 0.053300
332.0, 0.053200
334.0, 0.053100
336.0, 0.053100
338.0, 0.053100
340.0, 0.053100
342.0, 0.053100
344.0, 0.053200
346.0, 0.053300
348.0, 0.053500
350.0, 0.053600
352.0, 0.053900
354.0, 0.054100
356.0, 0.054400
358.0, 0.054800
360.0, 0.055100
362.0, 0.055600
364.0, 0.056000
366.0, 0.056500
368.0, 0.057100
370.0, 0.057700
372.0, 0.058400
374.0, 0.059100
376.0, 0.059900
378.0, 0.061000
380.0, 0.062100
382.0, 0.063300
384.0, 0.064500
386.0, 0.065800
388.0, 0.067200
390.0, 0.068600
392.0, 0.069900
394.0, 0.071200
396.0, 0.072400
398.0, 0.073400
400.0, 0.074400
402.0, 0.075200
404.0, 0.076000
406.0, 0.076700
408.0, 0.077500
410.0, 0.078100
412.0, 0.078800
414.0, 0.079500
416.0, 0.080300
418.0, 0.081200
420.0, 0.082300
422.0, 0.083400
424.0, 0.084800
426.0, 0.086300
428.0, 0.088000
430.0, 0.089900
432.0, 0.092100
434.0, 0.094600
436.0, 0.097200
438.0, 0.099800
440.0, 0.102400
442.0, 0.104800
444.0, 0.107100
446.0, 0.109000
448.0, 0.110500
450.0, 0.111700
452.0, 0.112500
454.0, 0.113000
456.0, 0.113400
458.0, 0.113700
460.0, 0.114100
462.0, 0.114400
464.0, 0.114800
466.0, 0.115200
468.0, 0.115600
470.0, 0.116100
472.0, 0.116600
474.0, 0.117200
476.0, 0.117900
478.0, 0.118600
480.0, 0.119600
482.0, 0.120800
484.0, 0.122200
486.0, 0.123800
488.0, 0.125600
490.0, 0.127700
492.0, 0.129900
494.0, 0.132200
496.0, 0.134700
498.0, 0.137400
500.0, 0.140400
502.0, 0.143700
504.0, 0.147300
506.0, 0.151200
508.0, 0.155300
510.0, 0.159700
512.0, 0.164300
514.0, 0.169200
516.0, 0.174200
518.0, 0.179300
520.0, 0.184700
522.0, 0.190100
524.0, 0.195500
526.0, 0.200900
528.0, 0.206200
530.0, 0.211100
532.0, 0.215700
534.0, 0.219700
536.0, 0.223000
538.0, 0.225400
540.0, 0.226800
542.0, 0.227200
544.0, 0.226500
546.0, 0.224600
548.0, 0.221600
550.0, 0.217500
552.0, 0.212600
554.0, 0.206800
556.0, 0.200500
558.0, 0.194100
560.0, 0.187600
562.0, 0.181100
564.0, 0.175000
566.0, 0.169400
568.0, 0.164100
570.0, 0.159200
572.0, 0.154700
574.0, 0.150600
576.0, 0.146900
578.0, 0.143600
580.0, 0.140600
582.0, 0.138000
584.0, 0.135700
586.0, 0.133500
588.0, 0.131400
590.0, 0.129300
592.0, 0.127200
594.0, 0.125200
596.0, 0.123200
598.0, 0.121200
600.0, 0.119300
602.0, 0.117500
604.0, 0.115900
606.0, 0.114600
608.0, 0.113500
610.0, 0.112600
