name,record_id,instrument,chapter,filename,VIS_rmse,VIS_variance,VIS_coverage,NIR_rmse,NIR_variance,NIR_coverage,SWIR_rmse,SWIR_variance,SWIR_coverage,MWIR_rmse,MWIR_variance,MWIR_coverage,LWIR_rmse,LWIR_variance,LWIR_coverage
"Construction  Concrete (0598UUUCNC)",0598UUUCNC,becknic,manmade,manmade.concrete.constructionconcrete.solid.all.0598uuucnc.jhu.becknic.spectrum.txt,0.002925,0.997775,1.000000,0.000504,0.995450,1.000000,0.001137,0.998068,1.000000,0.001717,0.999033,1.000000,0.001316,0.998998,1.000000
"Construction  Concrete (0092UUU_CNC)",0092UUU_CNC,becknic,manmade,manmade.concrete.pavingconcrete.solid.all.0092uuu_cnc.jhu.becknic.spectrum.txt,0.001279,0.997654,0.837209,0.000963,0.619837,1.000000,0.001136,0.999301,1.000000,0.002389,0.996642,1.000000,0.001356,0.990658,0.882353
"Construction Concrete (0397UUUCNC)",0397UUUCNC,becknic,manmade,manmade.concrete.pavingconcrete.solid.all.0397uuucnc.jhu.becknic.spectrum.txt,0.001805,0.995060,0.837209,0.001045,0.960529,1.000000,0.001131,0.999577,1.000000,0.000697,0.999444,1.000000,0.001426,0.998505,0.882353
"Construction  Concrete (0424UUUCNC)",0424UUUCNC,becknic,manmade,manmade.concrete.pavingconcrete.solid.all.0424uuucnc.jhu.becknic.spectrum.txt,0.001613,0.999263,0.837209,0.001261,0.984055,1.000000,0.001383,0.999602,1.000000,0.001791,0.997364,1.000000,0.001157,0.997812,0.882353
"Asphaltic concrete (0425UUUASP)",0425UUUASP,becknic,manmade,manmade.concrete.pavingconcrete.solid.all.0425uuuasp.jhu.becknic.spectrum.txt,0.003160,0.993460,0.837209,0.000665,0.998041,1.000000,0.002015,0.995978,1.000000,0.002869,0.997419,1.000000,0.001509,0.996914,0.882353
"Red smooth-faced Brick (0097UUUBRK)",0097UUUBRK,becknic,manmade,manmade.generalconstructionmaterial.brick.solid.all.0097uuubrk.jhu.becknic.spectrum.txt,0.002120,0.998929,1.000000,0.001037,0.997669,1.000000,0.001145,0.966003,1.000000,0.002959,0.999307,1.000000,0.001473,0.998243,0.705882
"Weathered Red Brick (0412UUUBRK)",0412UUUBRK,becknic,manmade,manmade.generalconstructionmaterial.brick.solid.all.0412uuubrk.jhu.becknic.spectrum.txt,0.001637,0.999664,1.000000,0.001770,0.999200,1.000000,0.002023,0.990787,1.000000,0.003927,0.999174,1.000000,0.000971,0.997362,0.705882
"Bare Red Brick (0413UUUBRK)",0413UUUBRK,becknic,manmade,manmade.generalconstructionmaterial.brick.solid.all.0413uuubrk.jhu.becknic.spectrum.txt,0.001703,0.999642,1.000000,0.001814,0.999344,1.000000,0.002229,0.988507,1.000000,0.003794,0.999295,1.000000,0.001470,0.995465,0.705882
"Construction Concrete (0432UUUCNC)",0432UUUCNC,becknic,manmade,manmade.generalconstructionmaterial.cementcinderblock.solid.all.0432uuucnc.jhu.becknic.spectrum.txt,0.001875,0.998400,0.837209,0.000710,0.991733,1.000000,0.001323,0.995887,1.000000,0.003507,0.995741,1.000000,0.003029,0.982540,0.882353
"Cinders, ashen (0101UUUCIN)",0101UUUCIN,becknic,manmade,manmade.generalconstructionmaterial.cinder.solid.all.0101uuucin.jhu.becknic.spectrum.txt,0.000310,0.994817,1.000000,0.000293,0.978083,1.000000,0.000423,0.982262,1.000000,0.001051,0.984306,1.000000,0.001302,0.984050,0.705882
"Plate Window Glass (0796UUUGLS)",0796UUUGLS,becknic,manmade,manmade.generalconstructionmaterial.glas.solid.all.0796uuugls.jhu.becknic.spectrum.txt,0.001642,0.965362,1.000000,0.000544,0.986508,1.000000,0.000795,0.956127,1.000000,0.000704,0.996736,1.000000,0.002554,0.999010,0.882353
"White Marble (0722UUUMBL)",0722UUUMBL,becknic,manmade,manmade.generalconstructionmaterial.marble.solid.all.0722uuumbl.jhu.becknic.spectrum.txt,0.016311,0.981477,1.000000,0.001557,0.831037,1.000000,0.023509,0.991285,1.000000,0.014228,0.950938,1.000000,0.004292,0.995369,0.882353
"Olive green gloss paint (0385UUUPNT)",0385UUUPNT,becknic,manmade,manmade.generalconstructionmaterial.paint.solid.all.0385uuupnt.jhu.becknic.spectrum.txt,0.015669,0.957878,1.000000,0.001607,0.997434,1.000000,0.002606,0.995776,1.000000,0.018745,0.993083,1.000000,0.027531,0.871248,0.705882
"Olive green gloss paint (0386UUUPNT)",0386UUUPNT,becknic,manmade,manmade.generalconstructionmaterial.paint.solid.all.0386uuupnt.jhu.becknic.spectrum.txt,0.018593,0.947978,1.000000,0.003149,0.986685,1.000000,0.004757,0.996617,1.000000,0.008632,0.996981,1.000000,0.008209,0.912502,0.705882
"Black gloss paint (0402UUUPNT)",0402UUUPNT,becknic,manmade,manmade.generalconstructionmaterial.paint.solid.all.0402uuupnt.jhu.becknic.spectrum.txt,0.001208,0.879746,0.837209,0.000121,1.000000,1.000000,0.000334,0.993982,1.000000,0.001667,0.984451,1.000000,0.004094,0.969661,0.882353
