name,record_id,instrument,chapter,filename,VIS_rmse,VIS_variance,VIS_coverage,NIR_rmse,NIR_variance,NIR_coverage,SWIR_rmse,SWIR_variance,SWIR_coverage,MWIR_rmse,MWIR_variance,MWIR_coverage,LWIR_rmse,LWIR_variance,LWIR_coverage
"Construction  Concrete (0598UUUCNC)",0598UUUCNC,becknic,manmade,manmade.concrete.constructionconcrete.solid.all.0598uuucnc.jhu.becknic.spectrum.txt,0.002134,0.998815,1.000000,0.000588,0.993836,1.000000,0.000959,0.998625,1.000000,0.001807,0.998929,1.000000,0.001242,0.999106,1.000000
"Construction  Concrete (0092UUU_CNC)",0092UUU_CNC,becknic,manmade,manmade.concrete.pavingconcrete.solid.all.0092uuu_cnc.jhu.becknic.spectrum.txt,0.001691,0.995898,0.837209,0.000651,0.826392,1.000000,0.001144,0.999291,1.000000,0.002302,0.996875,1.000000,0.001452,0.989286,0.882353
"Construction Concrete (0397UUUCNC)",0397UUUCNC,becknic,manmade,manmade.concrete.pavingconcrete.solid.all.0397uuucnc.jhu.becknic.spectrum.txt,0.001793,0.995120,0.837209,0.001161,0.951277,1.000000,0.001157,0.999556,1.000000,0.000776,0.999311,1.000000,0.001550,0.998234,0.882353
"Construction  Concrete (0424UUUCNC)",0424UUUCNC,becknic,manmade,manmade.concrete.pavingconcrete.solid.all.0424uuucnc.jhu.becknic.spectrum.txt,0.001807,0.999075,0.837209,0.000897,0.991940,1.000000,0.001681,0.999412,1.000000,0.001668,0.997719,1.000000,0.001300,0.997247,0.882353
"Asphaltic concrete (0425UUUASP)",0425UUUASP,becknic,manmade,manmade.concrete.pavingconcrete.solid.all.0425uuuasp.jhu.becknic.spectrum.txt,0.002740,0.995082,0.837209,0.000898,0.996428,1.000000,0.002079,0.995718,1.000000,0.003467,0.996242,1.000000,0.001484,0.997017,0.882353
"Red smooth-faced Brick (0097UUUBRK)",0097UUUBRK,becknic,manmade,manmade.generalconstructionmaterial.brick.solid.all.0097uuubrk.jhu.becknic.spectrum.txt,0.001534,0.999440,1.000000,0.001504,0.995103,1.000000,0.000864,0.980650,1.000000,0.003274,0.999152,1.000000,0.001287,0.998658,0.705882
"Weathered Red Brick (0412UUUBRK)",0412UUUBRK,becknic,manmade,manmade.generalconstructionmaterial.brick.solid.all.0412uuubrk.jhu.becknic.spectrum.txt,0.001073,0.999855,1.000000,0.001332,0.999547,1.000000,0.001721,0.993333,1.000000,0.003333,0.999404,1.000000,0.000968,0.997380,0.705882
"Bare Red Brick (0413UUUBRK)",0413UUUBRK,becknic,manmade,manmade.generalconstructionmaterial.brick.solid.all.0413uuubrk.jhu.becknic.spectrum.txt,0.001088,0.999853,1.000000,0.001333,0.999646,1.000000,0.001774,0.992725,1.000000,0.003463,0.999412,1.000000,0.001215,0.996895,0.705882
"Construction Concrete (0432UUUCNC)",0432UUUCNC,becknic,manmade,manmade.generalconstructionmaterial.cementcinderblock.solid.all.0432uuucnc.jhu.becknic.spectrum.txt,0.001752,0.998601,0.837209,0.000777,0.990101,1.000000,0.001357,0.995676,1.000000,0.002754,0.997377,1.000000,0.003221,0.980255,0.882353
"Cinders, ashen (0101UUUCIN)",0101UUUCIN,becknic,manmade,manmade.generalconstructionmaterial.cinder.solid.all.0101uuucin.jhu.becknic.spectrum.txt,0.000285,0.995629,1.000000,0.000300,0.977051,1.000000,0.000377,0.985866,1.000000,0.000852,0.989685,1.000000,0.001283,0.984520,0.705882
