name,record_id,instrument,chapter,filename,VIS_rmse,VIS_variance,VIS_coverage,NIR_rmse,NIR_variance,NIR_coverage,SWIR_rmse,SWIR_variance,SWIR_coverage,MWIR_rmse,MWIR_variance,MWIR_coverage,LWIR_rmse,LWIR_variance,LWIR_coverage
"Ag (Babar)",Babar,RefractiveIndex.info,main,Babar.yml,0.001927,0.992792,1.000000,0.000483,1.000000,1.000000,0.000853,1.000000,1.000000,0.001037,0.000000,1.000000,0.000514,1.000000,0.694118
"Ag (Choi)",Choi,RefractiveIndex.info,main,Choi.yml,0.000685,1.000000,0.000000,0.000523,1.000000,0.000000,0.000833,1.000000,0.906429,0.000230,1.000000,1.000000,0.000155,1.000000,0.057412
"Ag (Ciesielski-Ge)",Ciesielski-Ge,RefractiveIndex.info,main,Ciesielski-Ge.yml,0.001436,0.999468,1.000000,0.000764,0.917375,1.000000,0.000746,1.000000,1.000000,0.001082,0.000000,1.000000,0.000200,1.000000,1.000000
"Ag (Ciesielski-Ni)",Ciesielski-Ni,RefractiveIndex.info,main,Ciesielski-Ni.yml,0.002067,0.998262,1.000000,0.000547,1.000000,1.000000,0.000931,1.000000,1.000000,0.000225,1.000000,1.000000,0.000163,1.000000,1.000000
"Ag (Ciesielski)",Ciesielski,RefractiveIndex.info,main,Ciesielski.yml,0.001329,0.999697,1.000000,0.000517,1.000000,1.000000,0.001149,0.000000,1.000000,0.000229,1.000000,1.000000,0.000158,1.000000,1.000000
"Ag (Ferrera-298K)",Ferrera-298K,RefractiveIndex.info,main,Ferrera-298K.yml,0.001377,0.996379,1.000000,0.000460,0.973466,1.000000,0.000482,1.000000,0.249464,0.000229,1.000000,0.000000,0.000158,1.000000,0.000000
"Ag (Ferrera-404K)",Ferrera-404K,RefractiveIndex.info,main,Ferrera-404K.yml,0.001104,0.998110,1.000000,0.000480,0.955524,1.000000,0.000487,1.000000,0.249464,0.000227,1.000000,0.000000,0.000160,1.000000,0.000000
"Ag (Ferrera-501K)",Ferrera-501K,RefractiveIndex.info,main,Ferrera-501K.yml,0.002635,0.992280,1.000000,0.000483,0.958912,1.000000,0.000490,1.000000,0.249464,0.000227,1.000000,0.000000,0.000161,1.000000,0.000000
"Ag (Ferrera-600K)",Ferrera-600K,RefractiveIndex.info,main,Ferrera-600K.yml,0.005691,0.978466,1.000000,0.000528,0.946845,1.000000,0.000489,1.000000,0.249464,0.000226,1.000000,0.000000,0.000161,1.000000,0.000000
"Ag (Hagemann)",Hagemann,RefractiveIndex.info,main,Hagemann.yml,0.002302,0.998020,1.000000,0.000624,0.979927,1.000000,0.000802,0.896066,1.000000,0.002095,0.000000,1.000000,0.000155,1.000000,1.000000
